0.00000000	0.00000000	0.00054765	-0.00051042	2097.75574978	192.12394700	236.51805100	299.35244800
0.00000000	0.00000000	0.00054765	-0.00051042	2097.75574978	192.12394700	236.51805100	299.35244800
1.00000000	0.00000000	0.00056122	-0.00048928	2093.15694800	192.12394700	235.92759700	299.49551400
2.00000000	0.00000000	0.00055994	-0.00054351	2072.63740266	192.12394700	234.90405300	299.20941200
3.00000000	0.00000000	0.00055673	-0.00062082	2059.66143536	192.19689900	234.45988500	298.78030400
4.00000000	0.00000000	0.00050973	0.03190988	2060.02136704	192.41462700	234.53721600	298.99487300
5.00000000	0.00000000	0.00055243	1.15719805	2060.33310304	192.48719800	234.45999100	299.20941200
6.00000000	0.00000000	0.00056319	3.76917548	2063.38158270	192.55975300	234.60937500	299.27874800
7.00000000	0.00000000	0.00055259	9.27015393	2077.51100384	192.70491000	235.19705200	298.99487300
8.00000000	0.00000000	0.00058142	12.82395775	2096.97495700	192.70491000	235.63768000	298.85183700
9.00000000	0.00000000	0.00058743	14.11412188	2087.26426239	192.70500200	234.53685000	299.28094500
10.00000000	0.00000000	0.00062656	16.37641234	2073.89813563	192.70491000	234.17039500	298.91070600
11.00000000	0.00000000	0.00058794	19.17215935	2042.28238521	192.77748100	233.51013200	298.63729900
12.00000000	0.00000000	0.00054400	19.17956015	2040.86020643	192.77748100	233.87695300	298.42276000
13.00000000	0.00000000	0.00055130	19.16774643	2074.53221844	192.77748100	234.83065800	298.70880100
14.00000000	0.00000000	0.00052300	19.21446302	2091.12609122	192.77748100	235.19497700	299.06640600
15.00000000	0.00000000	0.00055275	19.20204768	2093.32283233	192.77748100	234.61058000	299.49551400
16.00000000	0.00000000	0.00048829	19.23239314	2088.44424764	192.85006700	234.68394500	299.42221100
17.00000000	0.00000000	0.00053019	19.24702991	2052.64578324	192.85006700	233.43313600	298.70880100
18.00000000	0.00000000	0.00054936	19.24647897	2044.26066607	192.70491000	233.14331100	298.42276000
19.00000000	0.00000000	0.00060612	19.26487478	2067.67222423	192.63232400	233.78462200	298.42276000
20.00000000	0.00000000	0.00054776	19.22431565	2083.31459263	192.48719800	234.39050300	298.85183700
21.00000000	0.00000000	0.00054188	19.29282417	2076.43478013	192.42234800	233.58094800	299.20941200
22.00000000	0.00000000	0.00053450	19.25715969	2085.41287759	192.34393300	234.24377400	299.06640600
23.00000000	0.00000000	0.00062652	19.24852093	2084.92020808	192.34204100	233.73022500	299.42398100
24.00000000	0.00000000	0.00060050	19.25009254	2064.29570783	192.34204100	232.92320300	299.06518600
25.00000000	0.00000000	0.00054985	19.24321413	2033.41487874	192.34204100	232.26066600	298.85183700
26.00000000	0.00000000	0.00053526	19.22777518	2032.61219873	192.41462700	232.62898300	298.63729900
27.00000000	0.00000000	0.00057223	19.26227309	2070.04048140	192.41462700	233.80357400	298.84988400
28.00000000	0.00000000	0.00053973	19.26147918	2099.47904951	192.42167700	234.97189300	299.20941200
29.00000000	0.00000000	0.00058938	19.27623572	2106.34825120	192.48719800	234.31712300	300.13916000
30.00000000	0.00000000	0.00060062	19.24919971	2088.52207662	192.51493800	233.87695300	299.99612400
31.00000000	0.00000000	0.00052173	19.27463976	2064.55300886	192.48719800	232.62809800	299.41799900
32.00000000	0.00000000	0.00058356	19.26370736	2047.35820420	192.41462700	232.54167200	299.49551400
33.00000000	0.00000000	0.00060380	19.28681050	2054.68645068	192.48719800	232.69483900	299.98407000
34.00000000	0.00000000	0.00056260	19.30948104	2073.54443452	192.48719800	233.51013200	300.13916000
35.00000000	0.00000000	0.00056938	19.30848162	2090.26519896	192.42466700	233.86216700	300.56826800
36.00000000	0.00000000	0.00055032	19.29860114	2077.37078828	192.48719800	233.18859900	300.78280600
37.00000000	0.00000000	0.00059053	19.34905289	2063.03670028	192.56243900	232.98425300	300.35369900
38.00000000	0.00000000	0.00061150	19.29646962	2075.77644067	192.71723900	233.43495200	300.35369900
39.00000000	0.00000000	0.00061348	19.31365918	2081.12726898	192.70491000	233.21658300	300.92587300
40.00000000	0.00000000	0.00059935	19.30495295	2045.63761752	192.70491000	232.18502800	300.71130400
41.00000000	0.00000000	0.00061440	19.29443692	2053.70868311	192.70491000	232.40783700	300.85434000
42.00000000	0.00000000	0.00063753	19.30202854	2079.93667288	192.70491000	233.42511000	300.99560500
43.00000000	0.00000000	0.00059587	19.32178872	2095.52022602	192.70491000	233.50766000	301.92712400
44.00000000	0.00000000	0.00058346	19.29693014	2091.48038680	192.77748100	233.14189100	302.21316500
45.00000000	0.00000000	0.00056136	19.27959652	2050.17403270	192.70491000	231.89610300	301.56677200
46.00000000	0.00000000	0.00051527	19.29301303	2027.10782665	192.71298200	231.29756200	301.14041100
47.00000000	0.00000000	0.00055895	19.28457025	2055.97887296	192.70491000	232.68435700	301.28344700
48.00000000	0.00000000	0.00049112	19.29022670	2087.32811489	192.63243100	234.06504800	301.78405800
49.00000000	0.00000000	0.00050633	19.29151749	2104.94523790	192.70491000	234.16877700	303.14291400
50.00000000	0.00000000	0.00053841	19.26374025	2087.27221830	192.70863300	233.62309300	303.14291400
51.00000000	0.00000000	0.00053677	19.27879631	2059.83089109	192.77748100	232.16122400	302.35311900
52.00000000	0.00000000	0.00051112	19.27926694	2054.98399578	192.85031100	231.67204300	302.84661900
53.00000000	0.00000000	0.00050749	19.28143133	2060.23046803	192.85006700	231.93592800	303.55200200
54.00000000	0.00000000	0.00051348	19.28255497	2075.17782854	192.99522400	232.75172400	303.78656000
55.00000000	0.00000000	0.00056419	19.28262757	2080.21439535	193.06779500	232.89825400	303.92959600
